run_id,geometry_id,d,d_pub,d_priv,cells,cell_seed,key_seed,target_cell,target_cell_size,target_cell_ag_news,target_cell_synthetic_pii,n_test,n_test_ag_news,n_test_synthetic_pii,method,m,target_position,corpus_index,source,reference,hypothesis,token_f1,bleu,exact_match,normalized_exact_match,pii_hits,pii_total,pii_item_hits,geometry_cosine,recovered_text_embedding_cosine
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,1,226,226,0,2,2,0,ols_m16,16,0,150,ag_news,Smith setback for Windies West Indies have been forced to make a second change to their Champions Trophy squad because of injury. Dwayne,Wonn as the West Indies Trophy team now face a setback from injury. Smith made a change of selection for their second Windies,0.5652173913043478,0.06086557760579094,0.0,0.0,0,0,{},0.9883617758750916,0.8769599795341492
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,1,226,226,0,2,2,0,ols_m16,16,1,48,ag_news,"Sharapova, Molik Advance to Swisscom Final (AP) AP - Wimbledon champion Maria Sharapova advanced to the final of the Swiss",– Maria Sharapova advanced to final AP – Swiss by a MW Final: Wimbledon champion Maria Sharapova advanced to final,0.6486486486486486,0.24190948437025184,0.0,0.0,0,0,{},0.9889806509017944,0.9377403855323792
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,1,226,226,0,2,2,0,ols_m8,8,0,150,ag_news,Smith setback for Windies West Indies have been forced to make a second change to their Champions Trophy squad because of injury. Dwayne,Winnings back Smith made a change for the West Indies Trophy team as they are forced to make up for a second setback. Wind,0.5106382978723404,0.09619841027830799,0.0,0.0,0,0,{},0.9875795245170593,0.8236203789710999
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,1,226,226,0,2,2,0,ols_m8,8,1,48,ag_news,"Sharapova, Molik Advance to Swisscom Final (AP) AP - Wimbledon champion Maria Sharapova advanced to the final of the Swiss",AP final – Maria shkokova advanced to the Wimbledon final – Swiss champion Maria shko,0.625,0.08358411436841959,0.0,0.0,0,0,{},0.986250638961792,0.9359679222106934
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,1,226,226,0,2,2,0,oracle_residual,,0,150,ag_news,Smith setback for Windies West Indies have been forced to make a second change to their Champions Trophy squad because of injury. Dwayne,Dwayne Smith West Indies since being made a setback by injury forced them to change back to their second Trophy winners. Shane Chi,0.6086956521739131,0.06192450641405272,0.0,0.0,0,0,{},0.9999998807907104,0.7929173111915588
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,1,226,226,0,2,2,0,oracle_residual,,1,48,ag_news,"Sharapova, Molik Advance to Swisscom Final (AP) AP - Wimbledon champion Maria Sharapova advanced to the final of the Swiss",Wimbledon finalist Maria Apokopov,0.17391304347826086,0.00164346668917794,0.0,0.0,0,0,{},0.9999999403953552,0.722346842288971
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,1,226,226,0,2,2,0,prefix_only,,0,150,ag_news,Smith setback for Windies West Indies have been forced to make a second change to their Champions Trophy squad because of injury. Dwayne,West Indies Trophy Smithies have decided to change their selection for the second time since a back injury stifled the team. Windla,0.4888888888888889,0.04935037921272479,0.0,0.0,0,0,{},0.9862638711929321,0.8247019648551941
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,1,226,226,0,2,2,0,prefix_only,,1,48,ag_news,"Sharapova, Molik Advance to Swisscom Final (AP) AP - Wimbledon champion Maria Sharapova advanced to the final of the Swiss",Maria shpaková advanced to the final: Wimbledon AP Champions Maria shpaková reached the,0.5,0.11116284924093282,0.0,0.0,0,0,{},0.9855042695999146,0.8778759241104126
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,1,226,226,0,2,2,0,procrustes_m16,16,0,150,ag_news,Smith setback for Windies West Indies have been forced to make a second change to their Champions Trophy squad because of injury. Dwayne,Trophy winners West Indies have changed a decision this year when Smith is forced to make a setback after a serious injury. Windes,0.4782608695652174,0.17059573701616804,0.0,0.0,0,0,{},0.97651207447052,0.8286247849464417
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,1,226,226,0,2,2,0,procrustes_m16,16,1,48,ag_news,"Sharapova, Molik Advance to Swisscom Final (AP) AP - Wimbledon champion Maria Sharapova advanced to the final of the Swiss","wimaková wimaková advanced to the Swiss final, wima",0.37037037037037035,0.049299894122799504,0.0,0.0,0,0,{},0.9793335795402527,0.7498483061790466
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,1,226,226,0,2,2,0,raw,,0,150,ag_news,Smith setback for Windies West Indies have been forced to make a second change to their Champions Trophy squad because of injury. Dwayne,Dwayne Smith West Indies since being made a setback by injury forced them to change back to their second Trophy winners. Shane Chi,0.6086956521739131,0.06192450641405272,0.0,0.0,0,0,{},0.9999998807907104,0.7929173111915588
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,1,226,226,0,2,2,0,raw,,1,48,ag_news,"Sharapova, Molik Advance to Swisscom Final (AP) AP - Wimbledon champion Maria Sharapova advanced to the final of the Swiss",Wimbledon finalist Maria Apokopov,0.17391304347826086,0.00164346668917794,0.0,0.0,0,0,{},0.9999999403953552,0.722346842288971
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,1,226,226,0,2,2,0,unknown_key,,0,150,ag_news,Smith setback for Windies West Indies have been forced to make a second change to their Champions Trophy squad because of injury. Dwayne,Wnne after a recent setback from injury forced them to move back to their main schooners. Smith Trophy India West,0.46511627906976744,0.04821861774850323,0.0,0.0,0,0,{},0.9725541472434998,0.756698727607727
p192_c4_cs17_ks101,p192_c4_cs17,768,192,576,4,17,101,1,226,226,0,2,2,0,unknown_key,,1,48,ag_news,"Sharapova, Molik Advance to Swisscom Final (AP) AP - Wimbledon champion Maria Sharapova advanced to the final of the Swiss",Final advance: Maria Swabikov,0.2608695652173913,0.0034710195442391777,0.0,0.0,0,0,{},0.9718834161758423,0.645176351070404
